Date,Close_Price
2024-01-02,185.64
2024-01-03,184.25
2024-01-04,181.91
2024-01-05,181.71
2024-01-08,185.56
2024-01-09,185.19
2024-01-10,182.68
2024-01-11,185.43
2024-01-12,186.42
2024-01-16,182.84
2024-01-17,183.86
2024-01-18,184.33
2024-01-19,182.63
2024-01-22,189.42
2024-01-23,187.06
2024-01-24,194.41
2024-01-25,194.17
2024-01-26,184.51
2024-01-29,191.85
2024-01-30,188.38
2024-01-31,184.25
2024-02-01,184.30
2024-02-02,184.17
2024-02-05,188.58
2024-02-06,189.42
2024-02-07,187.35
2024-02-08,186.82
2024-02-09,188.69
2024-02-12,188.82
2024-02-13,189.27
2024-02-14,188.38
2024-02-15,184.10
2024-02-16,183.79
2024-02-20,185.28
2024-02-21,184.31
2024-02-22,184.37
2024-02-23,184.62
2024-02-26,180.79
2024-02-27,183.11
2024-02-28,180.53
2024-02-29,182.64
2024-03-01,180.68
2024-03-04,175.54
2024-03-05,170.33
2024-03-06,172.78
2024-03-07,173.15
2024-03-08,174.67
2024-03-11,174.99
2024-03-12,173.12
2024-03-13,170.53
2024-03-14,172.70
2024-03-15,171.67
2024-03-18,173.05
2024-03-19,173.45
2024-03-20,174.12
2024-03-21,171.45
2024-03-22,173.20
2024-03-25,174.29
2024-03-26,173.81
2024-03-27,173.59
2024-03-28,171.08
2024-04-01,170.33
2024-04-02,168.75
2024-04-03,170.42
2024-04-04,168.79
2024-04-05,167.06
2024-04-08,169.30
2024-04-09,174.50
2024-04-10,175.04
2024-04-11,175.50
2024-04-12,172.42
2024-04-15,172.55
2024-04-16,171.04
2024-04-17,169.67
2024-04-18,165.00
2024-04-19,165.04
2024-04-22,166.58
2024-04-23,170.33
2024-04-24,170.29
2024-04-25,173.03
2024-04-26,173.91
2024-04-29,173.14
2024-04-30,170.33
2024-05-01,169.14
2024-05-02,173.03
2024-05-03,184.92
2024-05-06,187.36
2024-05-07,190.66
2024-05-08,192.25
2024-05-09,192.11
2024-05-10,189.88
2024-05-13,189.42
2024-05-14,189.82
2024-05-15,189.95
2024-05-16,179.83
2024-05-17,182.15
2024-05-20,207.91
2024-05-21,207.36
2024-05-22,206.86
2024-05-23,206.40
2024-05-24,189.88
2024-05-28,190.90
2024-05-29,190.20
2024-05-30,191.24
2024-05-31,190.84
2024-06-03,194.17
2024-06-04,193.89
2024-06-05,196.45
2024-06-06,193.12
2024-06-07,193.59
2024-06-10,193.56
2024-06-11,196.07
2024-06-12,193.80
2024-06-13,193.16
2024-06-14,196.98
2024-06-17,193.78
2024-06-18,193.43
2024-06-20,196.00
2024-06-21,196.89
2024-06-24,198.78
2024-06-25,201.21
2024-06-26,201.31
2024-06-27,200.85
2024-06-28,200.38
2024-07-01,218.12
2024-07-02,220.27
2024-07-03,221.13
2024-07-05,209.80
2024-07-08,227.27
2024-07-09,228.68
2024-07-10,232.98
2024-07-11,235.17
2024-07-12,229.27
2024-07-15,234.59
2024-07-16,235.80
2024-07-17,236.34
2024-07-18,224.38
2024-07-19,224.38
2024-07-22,223.55
2024-07-23,225.01
2024-07-24,217.54
2024-07-25,213.55
2024-07-26,217.96
2024-07-29,218.36
2024-07-30,218.80
2024-07-31,218.36
2024-08-01,218.92
2024-08-02,219.05
2024-08-05,210.08
2024-08-06,206.48
2024-08-07,208.20
2024-08-08,216.15
2024-08-09,216.99
2024-08-12,226.34
2024-08-13,226.06
2024-08-14,222.85
2024-08-15,226.06
2024-08-16,228.68
2024-08-19,226.09
2024-08-20,226.84
2024-08-21,227.59
2024-08-22,222.64
2024-08-23,226.45
2024-08-26,226.74
2024-08-27,229.36
2024-08-28,226.08
2024-08-29,232.58
2024-08-30,233.25
2024-09-03,222.08
2024-09-04,221.30
2024-09-05,223.89
2024-09-06,224.54
2024-09-09,229.54
2024-09-10,230.68
2024-09-11,230.85
2024-09-12,233.47
2024-09-13,230.65
2024-09-16,233.18
2024-09-17,235.44
2024-09-18,234.82
2024-09-19,229.81
2024-09-20,232.98
2024-09-23,235.00
2024-09-24,227.05
2024-09-25,226.37
2024-09-26,229.20
2024-09-27,233.24
2024-09-30,233.65
2024-10-01,227.55
2024-10-02,227.97
2024-10-03,228.20
2024-10-04,226.26
2024-10-07,226.21
2024-10-08,225.77
2024-10-09,229.00
2024-10-10,229.54
2024-10-11,230.25
2024-10-14,232.88
2024-10-15,233.00
2024-10-16,229.72
2024-10-17,229.64
2024-10-18,235.36
2024-10-21,232.78
2024-10-22,234.82
2024-10-23,235.16
2024-10-24,236.00
2024-10-25,226.06
2024-10-28,219.86
2024-10-29,218.05
2024-10-30,219.58
2024-10-31,217.74
2024-11-01,217.48
2024-11-04,214.45
2024-11-05,211.82
2024-11-06,212.44
2024-11-07,213.70
2024-11-08,217.54
2024-11-11,221.30
2024-11-12,222.80
2024-11-13,220.85
2024-11-14,223.47
2024-11-15,218.67
2024-11-18,222.50
2024-11-19,225.01
2024-11-20,223.86
2024-11-21,226.08
2024-11-22,227.72
2024-11-25,224.57
2024-11-26,223.40
2024-11-27,224.38
2024-11-29,221.72
2024-12-02,222.08
2024-12-03,236.00
2024-12-04,232.34
2024-12-05,228.26
2024-12-06,230.41
2024-12-09,236.19
2024-12-10,234.99
2024-12-11,230.60
2024-12-12,236.00
2024-12-13,236.34
2024-12-16,236.59
2024-12-17,236.48
2024-12-18,236.00
2024-12-19,232.62
2024-12-20,232.68
2024-12-23,233.88
2024-12-24,234.82
2024-12-26,237.58
2024-12-27,236.45
2024-12-30,226.50
2024-12-31,228.15
